from,to,source
21,21.1 Indicator on biodiversity information for monitoring the Kunming- Montreal Global Biodiversity Framework,Monitoring framework assignment (Goals and Targets to Indicators)
21,Species Information Index,Monitoring framework assignment (Goals and Targets to Indicators)
21,Participation of indigenous peoples and local communities in decision-making related to the implementation of the Convention at all levels,Monitoring framework assignment (Goals and Targets to Indicators)
21,Index of Linguistic Diversity,Monitoring framework assignment (Goals and Targets to Indicators)
21,Growth in number of records and species in the Living Planet Index database,Monitoring framework assignment (Goals and Targets to Indicators)
21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,Monitoring framework assignment (Goals and Targets to Indicators)
21,Growth in marine species occurrence records accessible through the Ocean Biodiversity Information System,Monitoring framework assignment (Goals and Targets to Indicators)
21,Proportion of known species assessed through the International Union for Conservation of Nature Red List of Threatened Species,Monitoring framework assignment (Goals and Targets to Indicators)
21,Number of assessments on the International Union for Conservation of Nature Red List of Threatened Species,Monitoring framework assignment (Goals and Targets to Indicators)
21,World Association of Zoos and Aquariums bioliteracy survey (biodiversity literacy in global zoo and aquarium visitors),Monitoring framework assignment (Goals and Targets to Indicators)
22,22.1 Land-use change and land tenure in the traditional territories of indigenous peoples and local communities,Monitoring framework assignment (Goals and Targets to Indicators)
22,"22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation, in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources, and traditional knowledge, as well as by, women, and girls, children and youth, and persons with disabilities and the full protection of environmental human rights defenders",Monitoring framework assignment (Goals and Targets to Indicators)
22,Participation of indigenous peoples and local communities in decision-making related to the implementation of the Convention at all levels,Monitoring framework assignment (Goals and Targets to Indicators)
22,Index of Linguistic Diversity,Monitoring framework assignment (Goals and Targets to Indicators)
22,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation; and (b) who perceive their rights to land as secure, by sex and type of tenure (Sustainable Development Goal indicator 1.4.2)",Monitoring framework assignment (Goals and Targets to Indicators)
22,"Number of verified cases of killings and other attacks against environmental human rights defenders in the previous 12 months (Sustainable
Development Goal indicator16.10.1)",Monitoring framework assignment (Goals and Targets to Indicators)
22,"Proportions of positions in national and local institutions, including: (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups (Sustainable Development Goal indicator16.7.1)",Monitoring framework assignment (Goals and Targets to Indicators)
22,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment (Sustainable Development Goal indicator 5.c.1),Monitoring framework assignment (Goals and Targets to Indicators)
22,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and share of women among owners or rights-bearers of agricultural land, by type of tenure (Sustainable Development Goal indicator 5.a.1)",Monitoring framework assignment (Goals and Targets to Indicators)
22,Number Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control (Sustainable Development Goal indicator 5.a.2),Monitoring framework assignment (Goals and Targets to Indicators)
22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Sustainable Development Goal indicator 16.7.2)",Monitoring framework assignment (Goals and Targets to Indicators)
22,"Area covered by the reported territories and areas governed, managed, and conserved by custodian indigenous peoples and local communities (ICCAs—territories of life)",Monitoring framework assignment (Goals and Targets to Indicators)
23,"23.b Number of countries with legal, administrative or policy frameworks, inter alia, the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources",Monitoring framework assignment (Goals and Targets to Indicators)
23,Proportion of seats held by women in: (a) national parliaments; and (b) local governments (Sustainable Development Goal indicator 5.5.1),Monitoring framework assignment (Goals and Targets to Indicators)
23,Indicator on national implementation of the Gender Plan of Action (2023–2030),Monitoring framework assignment (Goals and Targets to Indicators)
23,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation; and (b) who perceive their rights to land as secure, by sex and type of tenure ",Monitoring framework assignment (Goals and Targets to Indicators)
23,"Percentage of positions in national and local institutions, including: (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",Monitoring framework assignment (Goals and Targets to Indicators)
23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and share of women among owners or rights-bearers of agricultural land, by type of tenure (Sustainable Development Goal indicator 5.a.1)",Monitoring framework assignment (Goals and Targets to Indicators)
23,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (Sustainable Development Goal indicator 16.7.2)",Monitoring framework assignment (Goals and Targets to Indicators)
23,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control (Sustainable Development Goal indicator 5.a.2),Monitoring framework assignment (Goals and Targets to Indicators)
1,State,Priyadarshini et al. 2022 (Targets to RPSB)
2,State,Priyadarshini et al. 2022 (Targets to RPSB)
3,Response,Priyadarshini et al. 2022 (Targets to RPSB)
4,State,Priyadarshini et al. 2022 (Targets to RPSB)
5,State,Priyadarshini et al. 2022 (Targets to RPSB)
6,State,Priyadarshini et al. 2022 (Targets to RPSB)
7,Pressure,Priyadarshini et al. 2022 (Targets to RPSB)
8,Pressure,Priyadarshini et al. 2022 (Targets to RPSB)
9,State,Priyadarshini et al. 2022 (Targets to RPSB)
10,Response,Priyadarshini et al. 2022 (Targets to RPSB)
11,State,Priyadarshini et al. 2022 (Targets to RPSB)
12,Response,Priyadarshini et al. 2022 (Targets to RPSB)
13,State,Priyadarshini et al. 2022 (Targets to RPSB)
14,Response,Priyadarshini et al. 2022 (Targets to RPSB)
15,Response,Priyadarshini et al. 2022 (Targets to RPSB)
16,State,Priyadarshini et al. 2022 (Targets to RPSB)
17,Response,Priyadarshini et al. 2022 (Targets to RPSB)
18,Response,Priyadarshini et al. 2022 (Targets to RPSB)
19,Response,Priyadarshini et al. 2022 (Targets to RPSB)
20,State,Priyadarshini et al. 2022 (Targets to RPSB)
21,State,Priyadarshini et al. 2022 (Targets to RPSB)
1,Pressure,Priyadarshini et al. 2022 (Targets to RPSB)
2,Response,Priyadarshini et al. 2022 (Targets to RPSB)
4,Response,Priyadarshini et al. 2022 (Targets to RPSB)
5,Response,Priyadarshini et al. 2022 (Targets to RPSB)
6,Response,Priyadarshini et al. 2022 (Targets to RPSB)
7,Response,Priyadarshini et al. 2022 (Targets to RPSB)
8,Response,Priyadarshini et al. 2022 (Targets to RPSB)
9,Response,Priyadarshini et al. 2022 (Targets to RPSB)
11,Response,Priyadarshini et al. 2022 (Targets to RPSB)
13,Response,Priyadarshini et al. 2022 (Targets to RPSB)
16,Response,Priyadarshini et al. 2022 (Targets to RPSB)
2,Benefits,Workshop
3,Benefits,Workshop
5,Benefits,Workshop
6,Benefits,Workshop
7,Benefits,Workshop
9,Benefits,Affinito et al. 2024 (Goals and Targets to RPSB)
10,Benefits,Affinito et al. 2024 (Goals and Targets to RPSB)
11,Benefits,Affinito et al. 2024 (Goals and Targets to RPSB)
12,Benefits,Affinito et al. 2024 (Goals and Targets to RPSB)
13,Benefits,Affinito et al. 2024 (Goals and Targets to RPSB)
17,Benefits,Workshop
19,Benefits,Workshop
1.1 Percentage of land and sea area covered by biodiversity- inclusive spatial plans,Response,Leadley et al. 2022 (Indicators to RPSB)
2.1 Area under restoration,Response,Leadley et al. 2022 (Indicators to RPSB)
3.1 Coverage of protected areas and other effective area- based conservation measures,Response,Workshop
5.1 Proportion of fish stocks within biologically sustainable levels (Sustainable Development Goal indicator 14.4.1),Benefits,Leadley et al. 2022 (Indicators to RPSB)
6.1 Rate of invasive alien species establishment,Pressure,Leadley et al. 2022 (Indicators to RPSB)
7.1 Index of coastal eutrophication potential (Sustainable Development Goal indicator 14.1.1 (a)) ,Pressure,Leadley et al. 2022 (Indicators to RPSB)
7.2 Aggregated total applied toxicity,Pressure,Leadley et al. 2022 (Indicators to RPSB)
9.2 Percentage of the population in traditional occupations,Benefits,Leadley et al. 2022 (Indicators to RPSB)
10.1 Proportion of agricultural area under productive and sustainable agriculture (Sustainable Development Goal indicator 2.4.1),Response,Leadley et al. 2022 (Indicators to RPSB)
10.2 Progress towards sustainable forest management (Sustainable Development Goal indicator 15.2.1),Response,Leadley et al. 2022 (Indicators to RPSB)
12.1 Average share of the built- up area of cities that is green or blue space for public use for all,State,Leadley et al. 2022 (Indicators to RPSB)
"15.1 Number of companies disclosing their biodiversity- related risks, dependencies and impacts",Pressure,Leadley et al. 2022 (Indicators to RPSB)
18.2 Value of subsidies and other incentives harmful to biodiversity,Response,Leadley et al. 2022 (Indicators to RPSB)
21.1 Indicator on biodiversity information for monitoring the Kunming- Montreal Global Biodiversity Framework,Response,Leadley et al. 2022 (Indicators to RPSB)
22.1 Land-use change and land tenure in the traditional territories of indigenous peoples and local communities,Response,Leadley et al. 2022 (Indicators to RPSB)
"D.1 International public funding, including official development assistance for conservation and sustainable use of biodiversity and ecosystems",Response,Leadley et al. 2022 (Indicators to RPSB)
D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Response,Leadley et al. 2022 (Indicators to RPSB)
D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Response,Leadley et al. 2022 (Indicators to RPSB)
A.1 Red List of Ecosystems,State,Workshop
A.4 The proportion of populations within species with an effective population size greater than 500,State,Workshop
A.2 Extent of natural ecosystems,State,Workshop
A.3 Red List Index (Sustainable Development Goal indicators 15.5.1),State,Workshop
A.3 Red List Index (Sustainable Development Goal indicators 15.5.1),Pressure,Workshop
B.1 Services provided by ecosystems,Benefits,Workshop
"B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services",Response,Workshop
"1.b Number of countries using participatory, integrated and biodiversity- inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030",Response,Workshop
"6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species",Response,Workshop
8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity,Response,Workshop
"9b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",Response,Workshop
12.b Number of countries with biodiversity- inclusive urban planning referring to green or blue urban spaces,Response,Workshop
"14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework",Response,Workshop
"15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity- related risks and promote actions to ensure sustainable patterns of production",Response,Workshop
"16.b Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",Response,Workshop
17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19,Response,Workshop
"20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",Response,Workshop
"22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation, in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources, and traditional knowledge, as well as by, women, and girls, children and youth, and persons with disabilities and the full protection of environmental human rights defenders",Response,Workshop
"23.b Number of countries with legal, administrative or policy frameworks, inter alia, the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources",Response,Workshop
18.1 Positive incentives in place to promote biodiversity conservation and sustainable use,Response,Workshop
C.1 Monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,Benefits,Workshop
C.2 Non- monetary benefits arising from applicable international access and benefit-sharing instruments,Benefits,Workshop
9.1 Benefits from the sustainable use of wild species,Benefits,Workshop
22.1 Land-use change and land tenure in the traditional territories of indigenous peoples and local communities,Pressure,Workshop
A,State,Workshop
B,Response,Workshop
B,Benefits,Workshop
C,Benefits,Workshop
D,Response,Workshop
22,Response,Workshop
23,Response,Workshop
5.b Number of countries with legal instruments or other policy frameworks for regulating trade in wild species,Response,Workshop
"13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",Response,Workshop
