from,to,source
D,Volume of official development assistance flows for scholarships by sector and type of study (Sustainable Development Goal indicator 4.b.1) Global imports of information and communications technology goods by category,Monitoring framework assignment (Goals and Targets to Indicators)
D,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies (Sustainable Development Goal indicator 17.7.1)",Monitoring framework assignment (Goals and Targets to Indicators)
D,International funding targeted at indigenous peoples and local communities within biodiversity-related activities ,Monitoring framework assignment (Goals and Targets to Indicators)
D,International funding targeted at youth within biodiversity- related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,International funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,Monetary value of the annual budget for biodiversity from total national budget,Monitoring framework assignment (Goals and Targets to Indicators)
D,Percentage of annual biodiversity expenditure in total national government budgets,Monitoring framework assignment (Goals and Targets to Indicators)
D,Domestic funding targeted at indigenous peoples and local communities within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,Domestic funding targeted at youth within biodiversity- related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,Domestic funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,Private funding targeted at indigenous peoples and local communities within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,Private funding targeted at youth within biodiversity- related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,Private funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,Monitoring framework assignment (Goals and Targets to Indicators)
D,"Private funding mobilized for indigenous peoples and local communities, women and youth",Monitoring framework assignment (Goals and Targets to Indicators)
1,A.1 Red List of Ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
1,A.2 Extent of natural ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
1,1.1 Percentage of land and sea area covered by biodiversity- inclusive spatial plans,Monitoring framework assignment (Goals and Targets to Indicators)
1,"1.b Number of countries using participatory, integrated and biodiversity- inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030",Monitoring framework assignment (Goals and Targets to Indicators)
1, Proportion of transboundary basin area with an operational arrangement for water cooperation (Sustainable Development Goal indicator 6.5.2),Monitoring framework assignment (Goals and Targets to Indicators)
2,2.1 Area under restoration,Monitoring framework assignment (Goals and Targets to Indicators)
2,Proportion of land that is degraded over total land area (Sustainable Development Goal indicator 15.3.1),Monitoring framework assignment (Goals and Targets to Indicators)
2,Global Ecosystem Restoration Index,Monitoring framework assignment (Goals and Targets to Indicators)
2,Proportion of key biodiversity areas in favourable condition,Monitoring framework assignment (Goals and Targets to Indicators)
3,3.1 Coverage of protected areas and other effective area- based conservation measures,Monitoring framework assignment (Goals and Targets to Indicators)
3,Protected Connected Index,Monitoring framework assignment (Goals and Targets to Indicators)
3,Protected Area Connectedness Index,Monitoring framework assignment (Goals and Targets to Indicators)
3,Species Protection Index (2),Monitoring framework assignment (Goals and Targets to Indicators)
3,"Rate of protected area downgrading, downsizing and degazettement events",Monitoring framework assignment (Goals and Targets to Indicators)
3,International Union for Conservation of Nature Green List of Protected and Conserved Areas Standard,Monitoring framework assignment (Goals and Targets to Indicators)
3,Proportion of key biodiversity areas in favourable condition ,Monitoring framework assignment (Goals and Targets to Indicators)
3,Protected Area Isolation Index,Monitoring framework assignment (Goals and Targets to Indicators)
3,Protected Areas Network metric,Monitoring framework assignment (Goals and Targets to Indicators)
3,Number of protected areas that have completed a site-level assessment of governance and equity,Monitoring framework assignment (Goals and Targets to Indicators)
4,A.3 Red List Index (Sustainable Development Goal indicators 15.5.1),Monitoring framework assignment (Goals and Targets to Indicators)
4,A.4 The proportion of populations within species with an effective population size greater than 500,Monitoring framework assignment (Goals and Targets to Indicators)
4,Living Planet Index,Monitoring framework assignment (Goals and Targets to Indicators)
4,Number of plant and animal genetic resources for food and agriculture secured in medium- or long-term conservation facilities,Monitoring framework assignment (Goals and Targets to Indicators)
4,Green status of species,Monitoring framework assignment (Goals and Targets to Indicators)
4,Human-wildlife conflict indicator,Monitoring framework assignment (Goals and Targets to Indicators)
4,Proportion of local breeds classified as being at risk of extinction (Sustainable Development Goal indicator 2.5.2),Monitoring framework assignment (Goals and Targets to Indicators)
4,Species Threat Abatement and Restoration metric,Monitoring framework assignment (Goals and Targets to Indicators)
4,Red List Index (wild relatives of domesticated animals) ,Monitoring framework assignment (Goals and Targets to Indicators)
4,Number of island invasive alien species eradications,Monitoring framework assignment (Goals and Targets to Indicators)
5,5.1 Proportion of fish stocks within biologically sustainable levels (Sustainable Development Goal indicator 14.4.1),Monitoring framework assignment (Goals and Targets to Indicators)
5,Red List Index (impacts of utilization) for utilized species,Monitoring framework assignment (Goals and Targets to Indicators)
5,Living Planet Index for utilized species,Monitoring framework assignment (Goals and Targets to Indicators)
5,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (Sustainable Development Goal indicator 14.6.1) (1)",Monitoring framework assignment (Goals and Targets to Indicators)
5,Inland fisheries threat indicator,Monitoring framework assignment (Goals and Targets to Indicators)
5,Red List Index (for internationally traded species),Monitoring framework assignment (Goals and Targets to Indicators)
5,Red List Index (impacts of fisheries) [disaggregation of indicator A.3],Monitoring framework assignment (Goals and Targets to Indicators)
5,Marine Stewardship Council Fish Certified Catch,Monitoring framework assignment (Goals and Targets to Indicators)
5,Total catch of cetaceans under the International Convention for the Regulation of Whaling,Monitoring framework assignment (Goals and Targets to Indicators)
5,By-catch of vulnerable and non-target species,Monitoring framework assignment (Goals and Targets to Indicators)
5,Number of Marine Stewardship Council chain of custody certification holders by distribution country,Monitoring framework assignment (Goals and Targets to Indicators)
5,"Biodiversity-based trade, growth rates",Monitoring framework assignment (Goals and Targets to Indicators)
5,5.b Number of countries with legal instruments or other policy frameworks for regulating trade in wild species,Monitoring framework assignment (Goals and Targets to Indicators)
6,6.1 Rate of invasive alien species establishment,Monitoring framework assignment (Goals and Targets to Indicators)
